channelName,owner,members,privacy
INTL 101 (A00) FA25,jmcintosh,wbanuelos,3
CGS 100A (A00) FA25,r5perez,rislam,3
TDGE 124 (B00) FA25,jfulton,jagranda,3
BENG 100 (A00) FA25,atayloramos,"mncherif, nghojjeh",3
SOCI 142 (A00) FA25,ymrubio,ccrofts,3
HILD 10 (A00) FA25,awherry,mmuscolino,3
PH 102 (A00) FA25,ell014,bkrana,3
PSYC 178 (A00) FA25,nhollomon,dglaser,3
GLBH 116 (A00) FA25,mwindham,mvillarino,3
CHEM 114A (B00) FA25,emaricq,aguseman,3
GPCO 401 (A00) FA25,d5chavez,gmccord,3
GPCO 412 (A00) FA25,d5chavez,sbazzi,3
GPCO 453 (A00) FA25,d5chavez,tegarg,3
