channelName,categoryId,channelLink,membersAdded,owner
INTL 101 (A00) FA25,392322733,https://your.mediaspace.domain/channel/INTL%2B101%2B%2528A00%2529%2BFA25/392322733,wbanuelos,jmcintosh
CGS 100A (A00) FA25,392322743,https://your.mediaspace.domain/channel/CGS%2B100A%2B%2528A00%2529%2BFA25/392322743,rislam,r5perez
TDGE 124 (B00) FA25,392322753,https://your.mediaspace.domain/channel/TDGE%2B124%2B%2528B00%2529%2BFA25/392322753,jagranda,jfulton
BENG 100 (A00) FA25,392322763,https://your.mediaspace.domain/channel/BENG%2B100%2B%2528A00%2529%2BFA25/392322763,"mncherif, nghojjeh",atayloramos
SOCI 142 (A00) FA25,392322773,https://your.mediaspace.domain/channel/SOCI%2B142%2B%2528A00%2529%2BFA25/392322773,ccrofts,ymrubio
HILD 10 (A00) FA25,392322803,https://your.mediaspace.domain/channel/HILD%2B10%2B%2528A00%2529%2BFA25/392322803,mmuscolino,awherry
PH 102 (A00) FA25,392322813,https://your.mediaspace.domain/channel/PH%2B102%2B%2528A00%2529%2BFA25/392322813,bkrana,ell014
PSYC 178 (A00) FA25,392322823,https://your.mediaspace.domain/channel/PSYC%2B178%2B%2528A00%2529%2BFA25/392322823,dglaser,nhollomon
GLBH 116 (A00) FA25,392322833,https://your.mediaspace.domain/channel/GLBH%2B116%2B%2528A00%2529%2BFA25/392322833,mvillarino,mwindham
CHEM 114A (B00) FA25,392322843,https://your.mediaspace.domain/channel/CHEM%2B114A%2B%2528B00%2529%2BFA25/392322843,aguseman,emaricq
GPCO 401 (A00) FA25,392322853,https://your.mediaspace.domain/channel/GPCO%2B401%2B%2528A00%2529%2BFA25/392322853,gmccord,d5chavez
GPCO 412 (A00) FA25,392322873,https://your.mediaspace.domain/channel/GPCO%2B412%2B%2528A00%2529%2BFA25/392322873,sbazzi,d5chavez
GPCO 453 (A00) FA25,392322883,https://your.mediaspace.domain/channel/GPCO%2B453%2B%2528A00%2529%2BFA25/392322883,tegarg,d5chavez
